Open,High,Low,Close,Volume,Accumulation Distribution Line,MACD,Chaikan Oscillator (CHO),Highest closing price (5 days),Lowest closing price (days),Stochastic %K (5 days),%D,Volume Price Trend (VPT),Williams %R (14 days),Relative Strength Index,Momentum (10 days),Price rate of change (PROC),Volume rate of change (VROC),On Balance Volume (OBV)
23.780001,25.25,23,24.49,3504900,3760944.74,-1.040772795,1104270.237,25.25,23.07,67.93250298,32.60767054,-103087.5331,-26.38889805,45.57545716,-0.26,0,113.0508784,6976600
24.129999,24.18,22.790001,23.209999,2635600,3306135.521,-1.039891324,1394334.679,25.25,23.07,17.07309637,31.75863938,-286275.5897,-80.31496838,38.39248997,-1.710001,-5.956243922,107.2827369,4341000
23.26,23.639999,22.809999,23.219999,836100,-812573.8922,-1.026552379,75741.25798,25.25,23.07,17.4796006,34.16173332,-285140.0446,-82.5203994,38.47407405,-0.790001,-6.181822222,-22.57616446,5177100
23.25,23.75,22.940001,23.25,634500,-275258.5317,-1.002009793,-299604.9141,25.25,23.07,18.69915394,17.75061697,-284059.776,-81.30084606,38.73619161,-0.85,-6.701444623,-29.16154963,5811600
23.639999,24.139999,23.049999,23.08,1283100,-1404262.646,-0.984923611,-785147.3922,25.25,23.08,11.78858203,15.98911219,-288699.1308,-88.21141797,37.75465534,-0.83,-3.873386089,22.3864937,4528500
23.01,23.17,22.559999,22.84,953700,-1458188.127,-0.979458098,-929559.478,24.18,22.84,17.28400168,15.92391255,-302041.5918,-89.59104476,36.35413241,-1.100001,-5.228215768,14.86209804,3574800
23.1,24.969999,23.07,24.73,4115100,6062367.521,-0.813244856,1488772.327,24.969999,22.84,90.04153527,39.70470632,-223123.3344,-19.33084783,51.58527353,1.100001,3.429527394,481.3930489,7689900
24.629999,25.49,23.549999,23.6,2618400,3891274.256,-0.763895508,1651944.543,25.49,22.84,35.49490256,47.60681317,-411156.6138,-64.50509744,44.69794073,0.140001,-1.420221327,359.7717296,5071500
23.33,23.49,22.959999,23.18,2370700,-3285068.393,-0.7500304,-714861.7157,25.49,22.84,21.16043646,48.8989581,-457755.2579,-78.83956354,42.43038567,0.11,-1.904354715,363.0273438,2700800
22.879999,23,21.780001,21.870001,2064600,-2591556.18,-0.835121414,-1397450.234,25.49,21.870001,2.425876665,19.69373856,-591733.4559,-97.57412334,36.25280655,-2.619999,-6.77748537,279.5220588,636200
22.18,22.5,21.110001,21.83,1605600,-1344371.782,-0.895462072,-1152818.662,25.49,21.83,16.43833709,13.34155007,-595509.6818,-83.56166291,36.08006642,-1.379999,-5.374945817,79.37660597,-969400
21.780001,22.58,21.5,22.530001,1055300,1420212.086,-0.876692285,-68300.09149,25.49,21.83,32.42009873,17.09477083,-544024.496,-67.57990127,41.34696087,-0.689998,-8.003262556,-69.89072441,85900
22.809999,23.85,22.690001,23.610001,1346300,1998156.644,-0.76584197,565467.1458,23.85,21.83,91.24090921,46.69978167,-493437.5475,-42.9223614,48.41002853,0.360001,1.72340378,-48.9186523,1432200
23.74,24.1,23.5,23.889999,1051200,1002097.29,-0.647929867,456401.4806,24.1,21.83,92.97655283,72.21252026,-477471.3768,-36.52971154,50.08814617,0.809999,2.885443707,25.72658773,2483400
24.049999,24.32,23.700001,23.940001,1106400,-370534.2415,-0.544176009,-66453.73151,24.32,21.83,88.16202123,90.79316109,-475271.2049,-35.3881131,50.39843747,1.100001,2.967746237,74.37352246,3589800
23.82,24.280001,23.73,24.02,663300,-533783.0741,-0.450304251,-326250.6076,24.32,22.530001,89.36170213,90.16675873,-471574.0082,-33.5616515,50.92411081,-0.71,4.072790295,-48.3048866,4253100
24.48,24.790001,24.059999,24.360001,640200,-306245.4319,-0.344503743,-330473.661,24.790001,23.610001,79.52380952,85.68251096,-462185.0547,-25.79906982,53.19448747,0.760001,6.654995622,-32.87197232,4893300
24.48,24.99,23.780001,24.950001,1580100,1611441.756,-0.210620112,308014.9825,24.99,23.889999,97.31550336,88.73367167,-446679.3903,-12.32874711,56.9190203,1.770001,0.889611808,-61.60239119,6473400
24.93,25.4,24.700001,24.940001,2033600,948182.8337,-0.10412302,330176.5902,25.4,23.940001,72.94121938,83.26017742,-447312.6969,-12.55705766,56.83646698,3.07,5.677970339,-22.33424992,4439800
24.6,24.959999,24,24.66,1399900,-361834.4657,-0.041834803,-107597.0373,25.4,24.02,55.68862275,75.31511516,-470143.8922,-18.94977602,54.45492332,2.83,6.384814495,-40.9499304,3039900
24.66,24.99,24.27,24.719999,924800,555824.0433,0.012229502,15077.5531,25.4,24.360001,58.02460372,62.21814862,-466737.8662,-17.57993552,54.89110038,2.189998,13.03154033,-55.20681972,3964700
24.440001,24.49,23.73,24.01,1017000,-288197.9987,-0.002189889,-204660.5417,25.4,24.01,16.76646707,43.49323118,-493299.6422,-32.40093995,48.92058976,0.399999,9.986257444,-36.65919283,2947700
23.85,24.25,23.530001,24.07,930800,-87625.04347,-0.008675852,-212129.2273,25.4,24.01,28.87696731,34.5560127,-490758.2011,-31.00233823,49.42126452,0.180001,6.835325928,-11.7975931,3878500
23.82,24,23.200001,23.25,1166000,-764896.7864,-0.079071682,-411395.6781,24.99,23.25,2.793241784,16.14555872,-522468.0474,-50.1165618,43.19044977,-0.690001,-1.524781808,-13.39226027,2712500
22.200001,22.959999,21.799999,22.950001,1318800,470428.4135,-0.157255552,-62456.14633,24.99,22.950001,36.05020813,22.57347241,-537513.1585,-62.82048718,41.14657037,-1.069999,-3.934692505,25.456621,1393700
22.860001,23.25,22.690001,22.82,1169700,759151.6723,-0.227089086,177836.1669,24.49,22.82,37.91823869,25.58722954,-544983.5425,-71.66664676,40.25752048,-1.540001,-4.678366555,5.721258134,224000
23.24,23.43,22.639999,22.809999,922600,-1313328.348,-0.280011859,-399454.8174,24.25,22.809999,41.22447297,38.39763993,-545496.1704,-71.94445224,40.18558482,-2.140002,-5.037472939,39.0924167,-698600
23.190001,23.190001,22.51,22.959999,687900,-490343.5019,-0.306318739,-337446.4221,24,22.809999,52.72724876,43.95665347,-539429.0943,-67.77778673,41.86353219,-1.980002,-5.747134411,7.450796626,-10700
23.049999,23.049999,22.540001,22.73,411700,-103218.6139,-0.34178623,-158226.3031,23.43,22.73,57.05524107,50.33565427,-546320.049,-74.16664606,40.01016207,-1.93,-8.897799243,-73.94468705,-422400
22.73,22.860001,22,22.190001,582900,-523466.8426,-0.408755994,-204240.1179,23.43,22.190001,13.28678322,41.02309102,-556100.8492,-89.16661412,35.98236415,-2.529998,-11.02646307,-71.33654603,-1005300
22.110001,22.27,21.77,22.209999,422800,-208072.9249,-0.454971712,-104144.0575,23.43,22.190001,26.50596386,32.28266271,-555575.5299,-87.87881543,36.2383613,-1.800001,-9.935121655,-69.7978427,-582500
22.139999,22.379999,21.98,22.33,462200,239290.7427,-0.476423015,88614.95751,23.190001,22.190001,39.43659195,26.40977967,-553291.1344,-84.57300275,37.84455406,-1.74,-9.668281135,-50.0216263,-120300
22.43,23,22.4,22.75,568000,66129.3444,-0.454295997,104318.2044,23.049999,22.190001,76.56255981,47.50170521,-544597.7175,-69.56521739,43.23435674,-0.5,-5.247813411,-44.14945919,447700
22.700001,23.540001,22.549999,23.25,1058100,392855.464,-0.391896811,205217.0976,23.540001,22.190001,83.61577197,66.53830791,-532114.201,-54.03726708,48.91376365,0.299999,-3.40673037,13.67640739,1505800
23.299999,24,23.209999,23.92,755400,890560.7803,-0.285095206,386198.6003,24,22.209999,96.41255605,85.53029595,-501622.7171,-20.95588235,55.35902556,1.1,2.88172043,-35.21440823,2261200
24.110001,24.49,23.01,23.709999,1223300,671434.4377,-0.214922004,355405.506,24.49,22.33,68.92426295,82.98419699,-508254.6049,-28.67650735,53.09779727,0.9,3.311537982,-7.241431604,1037900
26.549999,28.709999,26.5,27.75,11517800,9605641.496,0.164785537,3153200.985,28.709999,22.75,84.78606732,83.37429544,-299813.7178,-13.83284061,74.5960192,4.790001,21.60385627,884.6798324,12555700
27.450001,28.18,26.57,26.66,2864800,6947221.807,0.373447735,3165238.236,28.709999,23.25,66.72079545,73.47704191,-752224.6007,-29.53889475,65.8289232,3.93,16.87856716,210.5137654,9690900
