Up or Down,open,high,low,close,Consensus Estimate Revenue,Actual Revenue,Retained Earnings,Consensus Estimat Earnings Per share,Earnings Per Share,return on Assets,Gross Profit,Net Income,Gross Margin,Profit Margin,Working Capital,Current Ratio (CA/CL),Debt-To-Assets Ratio
1,70.25,71.63999939,69.62999725,71.30000305,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,72.98999786,77.08999634,72.76000214,76.69999695,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,77.08000183,79,76.12000275,77.37000275,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,75.15000153,76.01000214,73.80999756,74.94000244,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,75.26000214,77.83000183,74.27999878,76.87000275,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,77.36000061,78.43000031,76,76.90000153,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,76.40000153,77.61000061,75.5,77.30000305,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,76.55999756,76.66999817,73.66000366,74.38999939,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,74.48000336,75.48999786,72.73000336,74.83000183,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,73.83999634,74.30000305,71.62000275,71.98999786,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,71.69999695,74,71.29000092,72.61000061,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,72.97000122,73.98000336,70.65000153,72.5,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,73.01999664,75,72.94000244,74.58999634,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,74.18000031,75.01999664,73.61000061,74.04000092,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,76.48000336,82,76.31999969,80.09999847,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.02999878,81.33999634,79.05999756,80.18000031,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,79.94000244,79.94000244,77.54000092,79.59999847,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.30000305,82.63999939,78.73999786,81,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,77.70999908,80.52999878,76.93000031,77.69000244,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,77.80999756,81.31999969,77.26000214,80.86000061,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
1,80.63999939,82.5,80.12000275,81.97000122,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,81.41999817,81.76999664,79.86000061,80.73999786,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
0,80.90000153,81.33999634,77.91999817,78.62999725,4079.389,4135,-1581,0.326,0.34,9.307634,23.11971,80,23.11971,3.458283,1105,1.476498491,0.835210048
